GEOID10,ACCESS2_CrudePrev,BINGE_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CSMOKING_CrudePrev,DIABETES_CrudePrev,LPA_CrudePrev,MHLTH_CrudePrev,"1,3-butadiene",Acetaldehyde,Benzene,Carbon tetrachloride,Diesel Particulate Matter,Ethylene oxide,Formaldehyde,Napthalene,Severe_Housing_Problems,Housing_Cost_Burden,Total_households_with_internet,Unemploymen_ rate,Median_income
17031381800,9.7,14.3,11.5,5.3,17.3,14.5,31.1,15.8,0.02,0.62,0.33,0.52,0.58,0.0,0.93,0.02,65,80,696,11.0,106099
17031170500,7.8,19.4,8.7,4.9,12.5,8.3,22.6,13.0,0.03,0.66,0.33,0.52,0.46,0.0,0.99,0.02,115,35,1806,6.0,124531
17031351400,14.3,11.1,13.8,8.2,25.7,22.5,43.7,20.0,0.03,0.65,0.41,0.52,0.91,0.0,0.91,0.03,15,190,680,17.1,70256
17031381200,8.1,14.2,11.8,4.5,14.3,12.8,28.0,15.2,0.02,0.63,0.38,0.52,0.7,0.0,0.91,0.03,45,320,1052,12.3,74176
17031381400,9.9,14.4,12.1,4.3,18.3,13.2,32.1,17.2,0.02,0.62,0.34,0.52,0.63,0.0,0.93,0.02,30,160,596,22.9,53869
17031390100,6.8,15.7,11.0,3.3,12.5,10.3,23.8,13.8,0.02,0.64,0.39,0.52,0.75,0.0,0.89,0.03,25,70,749,17.9,108523
17031430400,11.2,12.7,12.4,6.9,20.3,18.3,37.4,17.2,0.02,0.6,0.3,0.52,0.48,0.0,0.91,0.02,60,250,986,13.3,56795
17031430500,15.6,11.4,14.2,7.8,27.9,21.8,45.7,21.2,0.02,0.6,0.3,0.52,0.43,0.0,0.9,0.02,15,600,1772,16.1,58707
17031430600,8.9,12.8,11.9,6.3,17.3,17.4,33.5,15.6,0.02,0.59,0.29,0.52,0.41,0.0,0.9,0.02,10,155,626,12.2,79884
17031230700,29.0,16.7,10.2,4.8,18.1,13.4,40.5,17.5,0.02,0.64,0.35,0.52,0.52,0.0,0.95,0.04,370,255,1785,17.2,29041
17031230900,19.0,18.2,9.8,3.9,14.3,10.7,31.4,15.7,0.02,0.64,0.34,0.52,0.55,0.0,0.95,0.04,45,325,1856,6.7,64300
17031231200,19.0,14.3,12.3,5.5,21.5,15.6,39.2,18.6,0.02,0.64,0.35,0.52,0.52,0.0,0.95,0.04,275,360,1463,12.7,29888
17031170700,9.2,18.7,8.9,5.6,14.3,9.0,25.2,13.6,0.03,0.66,0.33,0.52,0.46,0.0,0.98,0.02,175,115,959,2.3,90292
17031170800,10.1,19.1,9.1,5.2,14.8,8.9,25.7,14.3,0.03,0.66,0.33,0.52,0.46,0.0,0.98,0.02,260,70,1317,7.6,89464
17031171100,11.8,18.9,8.9,4.8,13.0,9.1,25.6,13.7,0.03,0.63,0.35,0.52,0.45,0.0,0.93,0.03,140,35,1300,1.5,109615
17031190100,24.1,17.8,9.1,5.0,15.0,11.6,34.9,15.1,0.03,0.64,0.37,0.52,0.66,0.0,0.95,0.03,15,115,617,6.6,84309
17031242200,5.7,25.4,8.2,1.6,7.8,3.5,13.9,12.9,0.02,0.65,0.35,0.52,0.66,0.0,0.96,0.04,85,110,1950,0.2,223958
17031200300,25.7,17.9,9.3,4.4,15.0,11.6,35.5,15.5,0.02,0.64,0.35,0.52,0.55,0.0,0.95,0.04,35,80,621,6.5,73750
17031210400,22.3,17.9,9.2,5.0,14.9,11.1,33.7,15.2,0.03,0.64,0.37,0.52,0.68,0.0,0.95,0.03,30,195,794,8.4,68224
17031220300,7.7,22.4,8.5,2.6,8.9,5.6,17.6,12.8,0.03,0.63,0.35,0.52,0.62,0.0,0.94,0.03,55,15,958,4.6,127411
17031210700,15.3,20.1,8.7,3.5,12.2,8.8,26.4,14.3,0.03,0.63,0.36,0.52,0.64,0.0,0.94,0.03,90,100,1489,2.7,118333
17031210800,16.3,21.7,8.4,2.8,11.2,7.2,24.6,13.7,0.03,0.63,0.36,0.52,0.62,0.0,0.94,0.03,4,85,421,11.2,130469
17031210900,11.5,21.4,8.3,3.0,10.2,7.0,21.5,12.9,0.03,0.63,0.36,0.52,0.62,0.0,0.94,0.03,105,95,1379,11.7,129342
17031420100,12.2,10.8,13.3,7.8,22.3,21.2,41.2,17.8,0.02,0.6,0.32,0.52,0.5,0.0,0.91,0.02,4,270,719,15.0,54521
17031420400,12.9,13.3,12.1,6.7,20.4,16.6,37.2,18.7,0.02,0.61,0.32,0.52,0.52,0.0,0.92,0.02,45,155,606,4.3,40291
17031420500,10.7,12.8,12.4,6.0,19.1,16.6,36.1,17.2,0.02,0.61,0.32,0.52,0.53,0.0,0.92,0.02,20,130,680,39.0,24728
17031691300,9.6,12.0,11.5,7.2,17.0,18.5,35.1,14.6,0.02,0.61,0.32,0.52,0.51,0.0,0.91,0.02,75,305,898,13.0,60905
17031031700,9.1,20.5,9.4,3.1,14.1,7.7,22.7,15.2,0.02,0.61,0.33,0.52,0.48,0.0,0.91,0.03,140,390,3119,4.0,166677
17031470100,11.4,12.3,12.0,6.9,19.4,18.2,37.4,15.9,0.02,0.61,0.31,0.52,0.54,0.0,0.91,0.02,65,120,821,18.3,69471
17031480100,7.5,11.3,10.8,7.5,13.5,18.7,31.8,12.3,0.02,0.6,0.3,0.52,0.43,0.0,0.9,0.02,125,70,777,7.4,93388
17031691000,9.4,12.6,11.7,6.6,17.2,17.7,34.2,14.8,0.02,0.61,0.32,0.52,0.52,0.0,0.91,0.02,100,260,1104,4.2,65511
17031242300,5.1,24.8,8.2,2.1,7.8,3.9,14.0,12.5,0.02,0.64,0.35,0.52,0.63,0.0,0.96,0.04,175,150,1588,3.8,164552
